audio_path,transcription
common_voice_as_24178061.mp3,মোক মাতি পঠোৱা হ'লেই হ'লহেঁতেন
common_voice_as_24178062.mp3,আমাৰ মিৰি কনেঙৰ কেতিয়াবা কথা লৰেনে?
common_voice_as_24178063.mp3,আৰু একোকেই ভয় নাই
common_voice_as_24178064.mp3,"কিন্তু, এইবাৰ দুয়োয়ে একেলগে দৌৰাৰ আঁচনি কৰিলে।"
common_voice_as_24178065.mp3,কি কৈ আছোঁ ভালকৈ শুনক।
common_voice_as_24178076.mp3,তেতিয়া মই যোৰহাটৰ বাৰ চহৰৰ ভাওনা চাবৰ নিমিত্তে যাবলৈ উদগি পৰিলো
common_voice_as_24178081.mp3,আৰু কিবা শুংসূত্ৰ উলিয়াছে বুলি গম পোৱা যায়।
common_voice_as_24178082.mp3,"আজি ডাৱৰীয়া বতৰ, মোৰ পিঠা খাবৰ মন গৈছে।"
common_voice_as_24178083.mp3,কেতিয়াবা তিনি-চাৰি দিন একেৰাহে তাতে থকাও দেখা গৈছিল।
common_voice_as_24178084.mp3,এই খিনিতে মানুহ এটা মৰা হ'লে আমি গম নোপোৱাকৈ থাকিলাহেঁতেননে?
common_voice_as_24178085.mp3,"গোলাম যেতিয়া, এনেবোৰ অত্যাচাৰ দেখিও একো কৰিব নোৱাৰে।"
common_voice_as_24178086.mp3,অন্যথা আবেলি অকলেই ওলাল কাশীনাথ।
common_voice_as_24178087.mp3,"মাক বৰকাছ মহা আহুকালত পৰিল, কাৰণ তুলাই তেজা আৰু কানাইৰ লগকে নেৰে।"
common_voice_as_24178088.mp3,সেইদেখি তাই এলাগীক কেনেকৈ গিৰীয়েকৰ চকুৰ পৰা আঁতৰাব এই কথা ভাবিবলৈ ধৰিলে।
common_voice_as_24178089.mp3,যদিও মৃত-সঞ্জীৱনী বিদ্যাৰ পৰা সদায় কচক আঁতৰাই ৰাখিছিল।
common_voice_as_24178090.mp3,বটলিং প্লাণ্টত জুই লাগিছে।
common_voice_as_24178091.mp3,সেই গছৰ গাত কুৰিয়ালে গাখীৰৰ নিচিনা এবিধ সোৱাদ বগা ৰস ওলায়।
common_voice_as_24178092.mp3,সাধুটো ইমানতে শেষ হোৱা বুলি আপুনি পুনৰাই ভাবিছে চাগৈ।
common_voice_as_24178093.mp3,তেওঁ এনেকৈ ভাবি থাকোঁতেই বাবাজী আহি তেওঁৰ ওচৰ পালে।
common_voice_as_24178094.mp3,"নেলাগে, নেলাগে, মোৰ বন্ধুক আৰু মই একোকে দিব নোৱাৰোঁ।"
common_voice_as_24178095.mp3,ইতিমধ্যে তেজীমলাৰ সখীয়েকৰ বিয়া আহিল। পৰহিলৈ বিয়া।
common_voice_as_24178101.mp3,ৰজাই সেই ভগ্নাৱশেষৰ ওপৰতে ইটাৰে এক নতুন মন্দিৰ নিৰ্মাণ কৰি দিছিল।
common_voice_as_24178102.mp3,আৰু পাঠক! ডালিমী
common_voice_as_24178103.mp3,বৰ্তমানৰ ফাঁচী বজাৰৰ ঠাইত বৰফুকনৰ বাসগৃহ আছিল।
common_voice_as_24178104.mp3,তেতিয়াই ৰাক্ষসৰ হাতখনত চেংচেঙনি ভক্ভকনি উঠিল।
common_voice_as_24178105.mp3,তেওঁবিলাকৰ মোল বুজিব নোৱাৰোঁ।
common_voice_as_24178106.mp3,চিটী বাছ উপৰিও ৰাজ্যিক পৰিবহণ নিগমৰ শীত-তাপ নিয়ন্ত্ৰিত চিটী বাছো উপলব্ধ।
common_voice_as_24178107.mp3,"লগত আছিল যম, কুবেৰ, বৰুণ আৰু শিৱ।"
common_voice_as_24178108.mp3,গৈ থাকি ভাগৰ লাগি বাটৰ কাষৰে গছ এজোপাৰ তলত বহি জিৰাইছিল।
common_voice_as_24178109.mp3,ফীল্ডত ফুটবল খেলি আছে।
common_voice_as_24178110.mp3,গুৱাহাটী ষ্টেচন পোৱাত দেউতাই পুনৰ চিঞৰিলে যদিও কোনেও শুনা নাপালে।
common_voice_as_24178122.mp3,গিৰিহঁতে খেৰ জোকাৰি ধানবোৰ এফলীয়া কৰিলে।
common_voice_as_24178123.mp3,তেওঁ কৃত্তিকাক বিয়া কৰাবলৈ শিৱৰ অনুমতি বিচাৰে।
common_voice_as_24178124.mp3,"কেতিয়াবা সোনকালে আহে, কেতিয়াবা পলম কৰে।"
common_voice_as_24178125.mp3,আৰু তেওঁৰ অঞ্চলটোৰ ওচৰলৈ অহা যিকোনো লোককে হত্যা কৰে।
common_voice_as_24178126.mp3,নহ'লে আন ছোৱালী যাচিবই লাগিছে।
common_voice_as_24178137.mp3,নদীৰ পাৰত মাথাউৰি হ'ল।
common_voice_as_24178138.mp3,উদ্ভিদক জীয়াই থাকিবলৈ আৰু বাঢ়িবলৈ তাপ লগা হয়
common_voice_as_24178139.mp3,"কোনোৱে বাট পদূলি অতাইছে, কোনোৱে তৰাৰ পঘা বাটিছে।"
common_voice_as_24178141.mp3,বহাগ সোমাইছে মাথোন।
common_voice_as_24178144.mp3,"মই আক-তাক সুধি-পুচি, ছোৱালীও চাই ভালকে পালোঁ।"
common_voice_as_24178147.mp3,বিস্কুটখিনি টেমা এটাত ভৰাই থ' নহ'লে সেমেকি যাব।
common_voice_as_24178148.mp3,"হেৰ' মোৰ লাহৰী তেজা, এবেলি পাছলৈ চা।"
common_voice_as_24178149.mp3,"ডেপুটি ইন্সপেক্টৰ আৰু শ্বেয়াৰমেনলৈ আৱেদন কৰিলে, কিন্তু ফল নহ'ল।"
common_voice_as_24178150.mp3,ৰূপবান এগাল ঘটি আনিব নোৱাৰিলে আৰু মই ঘৰলৈ উভতি নাহোঁ।
common_voice_as_24178151.mp3,হিতাহিত বিচাৰ নকৰি কচেও দেৱযানীক অভিশাপ দিলে।
common_voice_as_24178157.mp3,কিন্তু তাত অনুসন্ধানৰ কোনো সূত্ৰ আবিষ্কাৰ কৰিব নোৱাৰিলে।
common_voice_as_24178158.mp3,কী-ব'ৰ্ড আৰু অন্য ইনপুট ডিভাইচ।
common_voice_as_24178159.mp3,"সঞ্জয় গান্ধী জাতীয় উদ্যান কিছুঅংশ মুম্বাই উপনগৰ জিলাত, কিছুঅংশ থানে জিলাত অৱস্থিত।"
common_voice_as_24178160.mp3,"ঘৈণীয়েকে উত্তৰ দিলে- ""আৰু পিঠা ক'ৰ পৰা ওলাব?"""
common_voice_as_24178161.mp3,"চোৰে ভাবিলে- ""কোনটো গৰু ভাল কোনটো বেয়া এন্ধাৰে-মুন্ধাৰে কেনেকৈ চিনিম।"""
common_voice_as_24178167.mp3,বাৰীৰ পকা সুন্দৰ মনোহৰ কল এঠোক আৰু খুন্দনাটো লৈ।
common_voice_as_24178168.mp3,তাৰ কথাত শ্বেয়াৰমেন বৰ বিৰক্ত হ'ল।
common_voice_as_24178169.mp3,সিংহৰ প্ৰধান আহাৰ মঙহ।
common_voice_as_24178170.mp3,মোৰ মতে তুমি দয়াৰামৰ আশা এৰা।
common_voice_as_24178171.mp3,ছোৱালীজনীয়ে মিছেচ বাৰ্ডৰ ফালে অলপ পৰ থিৰ হৈ চালে।
common_voice_as_24178172.mp3,"আমি ""ডাঙৰ মানুহ"" বুলি কাক কওঁ?"
common_voice_as_24178173.mp3,মই ভাবিছোঁ তাইলৈ ভাল ল'ৰা এটা চপাই লওঁ।
common_voice_as_24178174.mp3,আজি তুমি লুকাই চাই থাকা।
common_voice_as_24178175.mp3,"তোৰ বুদ্ধি আছে কিন্তু বৰ ভয়, বৰ ভয়, বৰ ভয়ো আছে জৰ্জ।"
common_voice_as_24178176.mp3,এতিয়া সেইজন আগৰ পৰা নাইকিয়া হ'লেহে তেওঁৰ তেওঁলৈ বেছিকৈ মনত পৰা হ'ল।
common_voice_as_24178182.mp3,মদনে নানা ঠাইত ছোৱালীও চাইছিল।
common_voice_as_24178183.mp3,তাৰ আঠ বছৰীয়া পুতেকক দোকানৰখীয়া পাতি সিটো কোঠালিত অলপ শুইছিল।
common_voice_as_24178184.mp3,"অলপ ধান আছিল, বাৰীত শাক-পাচলি আছিল।"
common_voice_as_24178185.mp3,এইবুলি সেইদিনা বাঘক থৈ বাঘিনী অকলে চিকাৰ কৰিবলৈ গ'ল।
common_voice_as_24178186.mp3,আপুনি মোৰ সঁচাসঁচিকৈয়ে আই মাতৃ।
common_voice_as_24178187.mp3,মুখমণ্ডলত কচৰ প্ৰতি আকুলতা আৰু এক বুজাব নোৱাৰা শংকা দেখিলে।
common_voice_as_24178188.mp3,গঁড় এটি স্তন্যপায়ী জন্তু।
common_voice_as_24178189.mp3,মানুহটোক বহুত ধন-বস্তু দি বিদায় দিলে
common_voice_as_24178190.mp3,তাতে সন্ধিয়া কালত মৃদু-মন্দ বতাহ।
common_voice_as_24178191.mp3,সেই বিন্ধা বিলাকৰ দ্বাৰা উদ্ভিদে সিহঁতৰ প্ৰধান আহাৰ বায়ুৰ পৰা সংগ্ৰহ কৰে।
common_voice_as_24178192.mp3,"আপোনালোক যাওক, মই নিজে চ'ঠা দিনালৈ যাম।"
common_voice_as_24178193.mp3,অন্ততঃ হাতৰ কাম এৰি বামুণৰ ঘৰলৈ লাখ মৰাটো বাদ দিলে।
common_voice_as_24178194.mp3,"তেনেহ'লে দূৰৈত থাক, ওচৰলৈ নাহিবি।"
common_voice_as_24178195.mp3,হাতী আৰু বাঘৰ উপদ্ৰৱ গুচি নিৰাপদে ৰাজ্য চলাবলৈ ধৰিলে।
common_voice_as_24178196.mp3,এই স্থানীয় উদ্যোগটোৰ প্ৰসাৰত সমস্যাৰ সৃষ্টি কৰি আহিছে।
common_voice_as_24178197.mp3,বৰ্তমান ভূটানৰ থিম্ফুৰ পৰা গুৱাহাটী হৈ ছিংগাপুৰলৈ ড্ৰুক এয়াৰৰ বিমান চলাচল কৰে।
common_voice_as_24178198.mp3,সিহঁতে জানিলেহে
common_voice_as_24178199.mp3,ময়ো একেখন ট্ৰেইনলৈয়ে ৰৈ আছোঁ বুলি কোৱাত বৰ ভাল পাইছিলে।
common_voice_as_24178200.mp3,সেই দেখি বিয়া কৰোৱা নহয় বুলি খাটাং কৈ জনাই দিলোঁ।
common_voice_as_24178201.mp3,কিন্তু বিয়াখন ভাঙিব নোৱাৰিলে তাকে কৰাৰ বাহিৰে আৰু কি উপায় আছে!
common_voice_as_24178202.mp3,এই কলহটোৰ কাণেৰে মাৰিলে জানো
common_voice_as_24178203.mp3,প্ৰতিটো ইটাত এক ৰতি সোণ প্ৰদান কৰিছিল বুলি জনশ্ৰুতি আছে।
common_voice_as_24178204.mp3,যদিও চহৰত বসবাসকাৰী অনেকেই এতিয়াও এই চহৰক বোম্বাই নামেৰেই অভিহিত কৰে।
common_voice_as_24178205.mp3,"দৈত্যগুৰু হিচাবে, তেওঁৰ চিৰবৈৰী দেৱতাৰ গুৰু বৃহস্পতিৰ পুত্ৰ।"
common_voice_as_24178206.mp3,এনেতে সিহঁতৰ মাক বৰকাছজনীয়ে পানীৰ পৰা বামলৈ উঠি আহি সিহঁতক মাতিলে।
common_voice_as_24178207.mp3,সি কেনেকৈ সেই বাঘটো মাৰিব পাৰে।
common_voice_as_24178208.mp3,কিন্তু মোক কব পাৰিবানে
common_voice_as_24178209.mp3,আপোনাক লগ পাই ভাল লাগিল।
common_voice_as_24178210.mp3,ইটোক সিটোৱে এৰি থাকিবকে নোৱাৰে।
common_voice_as_24178211.mp3,সাধাৰণ মামু যিমান ওখ সিমানেই হ'ব।
common_voice_as_24178212.mp3,আমেৰিকান নিগ্ৰো সৈন্যই বাটত বহি মদ খাইছে।
common_voice_as_24178213.mp3,শাস্ত্ৰকাৰ সকলে কিয় পিতৃ মাতৃক ইমান ওখ আসন দিছে জানানে?
common_voice_as_24178214.mp3,ক'ৰবাৰ খাবলৈ নোপোৱা চোৰ দগাবাজ এটাহে যদি আগ বাঢ়ে।
common_voice_as_24178215.mp3,"মোৰ ভোক লাগিছে, হেৰ' কিবা আছে যদি চাচোন মই খাই যাওঁ।"
common_voice_as_24178216.mp3,ঘৈণীয়েক আৰু তিনটা ল'ৰা-ছোৱালীৰে সৈতে কোনোমতেহে পেট-ভাতে খাইছিল।
common_voice_as_24178217.mp3,আৰু ভালদৰে দেখা পাবৰ বাবেহে টিভিৰ তেনেই ওচৰলৈ গৈ বহি লোৱাৰ অভ্যাস কৰিছে।
common_voice_as_24178218.mp3,ইচ্ছা কৰিলেও সেই শিকলি জোকাৰি পেলাই দিব নোৱাৰিবা
common_voice_as_24178219.mp3,কিন্তু বয়স অনুসৰি ছাত্ৰৰ কৰ্তব্য বেলেগ বেলেগ।
common_voice_as_24178220.mp3,এই বুলি কৈ দেৱযানী উচুপি উঠিল।
common_voice_as_24178221.mp3,কিন্তু তালৈ জোৱায়েকক নিমন্ত্ৰণ নকৰিলে।
common_voice_as_24178222.mp3,মাজে মাজে চকুৰ পানী হাতেৰে মচি আছে।
common_voice_as_24178223.mp3,সেয়া বেলেগ কথা।
common_voice_as_24178224.mp3,এনে ভাবিব নেলাগে পবিত্ৰতা আৰু সৰলতাৰ প্ৰতিমা পদুমৰ হিয়াত পাপ ৰাক্ষস প্ৰবেশ কৰিলে।
common_voice_as_24178225.mp3,মুঠিৰ ফৰিঙটো এৰি দি সৰব্জানক নিজৰ গাৰ সাজ-কাপোৰ সলোকাই দি বঁটা পিন্ধালে।
common_voice_as_24178226.mp3,ভগৱানৰ সহায় লৈ বৰফ পাৰ হৈ আহিলোঁ।
common_voice_as_24178227.mp3,তুলাই পাত দুখন বুটলি আনি চেলেকিবলৈ ধৰিলে।
common_voice_as_24178228.mp3,তই বেজাৰ পালি নেকি?
common_voice_as_24178229.mp3,সময়ে সুভদ্ৰাৰ ঘৰলৈ আহি থাকে।
common_voice_as_24178230.mp3,মোৰ বন্ধুসকলক ঈদ মোবাৰক জনালোঁ।
common_voice_as_24178231.mp3,"দধিয়ে ই নাই, সি নাই, অলংকাৰ নাই, যোগাৰ নাই এনেবোৰ আপত্তি উলিয়ালে ক'বা।"
common_voice_as_24178232.mp3,বৰ ভাল মানুহ ই
common_voice_as_24178233.mp3,তাৰ স্বভাৱ কেনে আছিল?
common_voice_as_24178234.mp3,"যি হ'ল হ'ল, এতিয়া যেনেকৈ হওক তাক বিচাৰি উলিয়াব লাগিব।"
common_voice_as_24178235.mp3,কিন্তু পদুমৰ ওপৰত হ'লে তেওঁ বৰ প্ৰভুত্ব চলাবলৈ বিচাৰি ফুৰে।
common_voice_as_24178236.mp3,আন্তৰ্জাতিক উৰণ সপ্তাহত দুবাৰকৈ গুৱাহাটী পৰা বেংককলৈ আৰু ভূটানৰ থিম্ফুলৈ যাতায়ত কৰে।
common_voice_as_32546053.mp3,ঈশ্বৰে মোৰ কপালত কি লিখিলে ক'ব নোৱাৰোঁ।
common_voice_as_32546054.mp3,সুগৃহিণীৰ হাতত গৃহস্থালীৰ যেনে উন্নতি হয়
common_voice_as_32546055.mp3,নীলাচল পাহাৰত অৱস্থিত শক্তিপীঠ কামাখ্যা মন্দিৰ।
common_voice_as_32546056.mp3,সপ্তম অৱতাৰ ৰাম আৰু অষ্টম অৱতাৰ কৃষ্ণ।
common_voice_as_32546057.mp3,এজন ডাঙৰীয়াই ধীৰে ধীৰে লাহে লাহেকৈ দুই-এটি নিৰ্দোষ আমোদ লগা কথা পাতিছে।
common_voice_as_32546118.mp3,মুখ বাগৰি তিনি পুৰুষলৈ শুনিছিলোঁ আমি।
common_voice_as_32546119.mp3,কিন্তু প্রকৃত জ্ঞান-শিক্ষালৈ মন কাণ প্রায় অনেক কম দেখা যায়
common_voice_as_32546120.mp3,বাপেকে তেজীমলাৰ মাহীয়েকৰ স্বভাবৰ কথা আগৰে পৰা জানি থৈছিল।
common_voice_as_32546121.mp3,চেনিৰামক এৰিলে তেওঁৰ বহুতো বেচি ভৰণি হ'ব।
common_voice_as_32546122.mp3,"ভাল হ'লেও দুদিনমান জলকা লাগি থাকিব, আপোনালোকে তাত ভয় নাখাব।"
common_voice_as_32546163.mp3,ঘৰত দেখোন খাবলে' একো নাই!
common_voice_as_32546164.mp3,যদি ধৰা পৰাৰ ভয় থাকে লুকাই-লুকায়েই ফুৰিব লাগিব।
